GBD code	L1	L2	L3	L4	L5	Child Level	Child	Parent GBD Code	Parent
W084	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Schizophrenia		L4	Schizophrenia	W059	Noncommunicable diseases
W085	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Epilepsy		L4	Epilepsy	W059	Noncommunicable diseases
W086	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Alcohol use disorders		L4	Alcohol use disorders	W059	Noncommunicable diseases
W087	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Alzheimer and other dementias		L4	Alzheimer and other dementias	W059	Noncommunicable diseases
W088	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Parkinson disease		L4	Parkinson disease	W059	Noncommunicable diseases
W089	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Multiple sclerosis		L4	Multiple sclerosis	W059	Noncommunicable diseases
W090	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Drug use disorders		L4	Drug use disorders	W059	Noncommunicable diseases
W091	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Post-traumatic stress disorder		L4	Post-traumatic stress disorder	W059	Noncommunicable diseases
W092	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Obsessive-compulsive disorder		L4	Obsessive-compulsive disorder	W059	Noncommunicable diseases
W093	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Panic disorder		L4	Panic disorder	W059	Noncommunicable diseases
W094	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Insomnia (primary)		L4	Insomnia (primary)	W059	Noncommunicable diseases
W095	All Causes	Noncommunicable diseases	Neuropsychiatric conditions	Migraine		L4	Migraine	W059	Noncommunicable diseases
W098	All Causes	Noncommunicable diseases	Sense organ diseases			L3	Sense organ diseases	W059	Noncommunicable diseases
W099	All Causes	Noncommunicable diseases	Sense organ diseases	Glaucoma		L4	Glaucoma	W059	Noncommunicable diseases
W100	All Causes	Noncommunicable diseases	Sense organ diseases	Cataracts		L4	Cataracts	W059	Noncommunicable diseases
W101	All Causes	Noncommunicable diseases	Sense organ diseases	Refractive errors		L4	Refractive errors	W059	Noncommunicable diseases
W102	All Causes	Noncommunicable diseases	Sense organ diseases	"Hearing loss, adult onset"		L4	"Hearing loss, adult onset"	W059	Noncommunicable diseases
W103	All Causes	Noncommunicable diseases	Sense organ diseases	Macular degeneration and other (j)		L4	Macular degeneration and other (j)	W059	Noncommunicable diseases
W104	All Causes	Noncommunicable diseases	Cardiovascular diseases			L3	Cardiovascular diseases	W059	Noncommunicable diseases
W105	All Causes	Noncommunicable diseases	Cardiovascular diseases	Rheumatic heart disease		L4	Rheumatic heart disease	W059	Noncommunicable diseases
W106	All Causes	Noncommunicable diseases	Cardiovascular diseases	Hypertensive heart disease		L4	Hypertensive heart disease	W059	Noncommunicable diseases
W107	All Causes	Noncommunicable diseases	Cardiovascular diseases	Ischaemic heart disease		L4	Ischaemic heart disease	W059	Noncommunicable diseases
W108	All Causes	Noncommunicable diseases	Cardiovascular diseases	Cerebrovascular disease		L4	Cerebrovascular disease	W059	Noncommunicable diseases
W109	All Causes	Noncommunicable diseases	Cardiovascular diseases	Inflammatory heart diseases (k)		L4	Inflammatory heart diseases (k)	W059	Noncommunicable diseases
W111	All Causes	Noncommunicable diseases	Respiratory diseases			L3	Respiratory diseases	W059	Noncommunicable diseases
W112	All Causes	Noncommunicable diseases	Respiratory diseases	Chronic obstructive pulmonary disease		L4	Chronic obstructive pulmonary disease	W059	Noncommunicable diseases
W113	All Causes	Noncommunicable diseases	Respiratory diseases	Asthma		L4	Asthma	W059	Noncommunicable diseases
W115	All Causes	Noncommunicable diseases	Digestive diseases			L3	Digestive diseases	W059	Noncommunicable diseases
W116	All Causes	Noncommunicable diseases	Digestive diseases	Peptic ulcer disease		L4	Peptic ulcer disease	W059	Noncommunicable diseases
W117	All Causes	Noncommunicable diseases	Digestive diseases	Cirrhosis of the liver		L4	Cirrhosis of the liver	W059	Noncommunicable diseases
W118	All Causes	Noncommunicable diseases	Digestive diseases	Appendicitis		L4	Appendicitis	W059	Noncommunicable diseases
W120	All Causes	Noncommunicable diseases	Genitourinary diseases	Genitourinary diseases		L4	Genitourinary diseases	W059	Noncommunicable diseases
W121	All Causes	Noncommunicable diseases	Genitourinary diseases	Nephritis and nephrosis		L4	Nephritis and nephrosis	W059	Noncommunicable diseases
W122	All Causes	Noncommunicable diseases	Genitourinary diseases	Benign prostatic hypertrophy		L4	Benign prostatic hypertrophy	W059	Noncommunicable diseases
W124	All Causes	Noncommunicable diseases	Skin diseases			L3	Skin diseases	W059	Noncommunicable diseases
W125	All Causes	Noncommunicable diseases	Musculoskeletal diseases			L3	Musculoskeletal diseases	W059	Noncommunicable diseases
W126	All Causes	Noncommunicable diseases	Musculoskeletal diseases	Rheumatoid arthritis		L4	Rheumatoid arthritis	W059	Noncommunicable diseases
W127	All Causes	Noncommunicable diseases	Musculoskeletal diseases	Osteoarthritis		L4	Osteoarthritis	W059	Noncommunicable diseases
W131	All Causes	Noncommunicable diseases	Congenital anomalies			L3	Congenital anomalies	W059	Noncommunicable diseases
W143	All Causes	Noncommunicable diseases	Oral conditions			L3	Oral conditions	W059	Noncommunicable diseases
W144	All Causes	Noncommunicable diseases	Oral conditions	Dental caries		L4	Dental caries	W059	Noncommunicable diseases
W145	All Causes	Noncommunicable diseases	Oral conditions	Periodontal disease		L4	Periodontal disease	W059	Noncommunicable diseases
W146	All Causes	Noncommunicable diseases	Oral conditions	Edentulism		L4	Edentulism	W059	Noncommunicable diseases
W148	All Causes	Injuries				L2	Injuries	W000	All Causes
W149	All Causes	Injuries	Unintentional injuries			L3	Unintentional injuries	W148	Injuries
W150	All Causes	Injuries	Unintentional injuries	Road traffic accidents		L4	Road traffic accidents	W148	Injuries
W151	All Causes	Injuries	Unintentional injuries	Poisonings		L4	Poisonings	W148	Injuries
W152	All Causes	Injuries	Unintentional injuries	Falls		L4	Falls	W148	Injuries
W153	All Causes	Injuries	Unintentional injuries	Fires		L4	Fires	W148	Injuries
W154	All Causes	Injuries	Unintentional injuries	Drownings		L4	Drownings	W148	Injuries
W155	All Causes	Injuries	Unintentional injuries	Other unintentional injuries		L4	Other unintentional injuries	W148	Injuries
W156	All Causes	Injuries	Intentional injuries			L3	Intentional injuries	W148	Injuries
W157	All Causes	Injuries	Intentional injuries	Self-inflicted injuries		L4	Self-inflicted injuries	W148	Injuries
W158	All Causes	Injuries	Intentional injuries	Violence		L4	Violence	W148	Injuries
W159	All Causes	Injuries	Intentional injuries	War		L4	War	W148	Injuries
